Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2002,East,1,1,1,Maryland,85,16,Siena,70,1.0,"at Washington, DC"
2002,East,1,2,8,Wisconsin,80,9,St. John's (NY),70,1.0,"at Washington, DC"
2002,East,1,3,5,Marquette,69,12,Tulsa,71,0.0,"at St. Louis, MO"
2002,East,1,4,4,Kentucky,83,13,Valparaiso,68,1.0,"at St. Louis, MO"
2002,East,1,5,6,Texas Tech,68,11,Southern Illinois,76,0.0,"at Chicago, IL"
2002,East,1,6,3,Georgia,85,14,Murray State,68,1.0,"at Chicago, IL"
2002,East,1,7,7,NC State,69,10,Michigan State,58,1.0,"at Washington, DC"
2002,East,1,8,2,UConn,78,15,Hampton,67,1.0,"at Washington, DC"
2002,East,2,1,1,Maryland,87,8,Wisconsin,57,1.0,"at Washington, DC"
2002,East,2,2,12,Tulsa,82,4,Kentucky,87,0.0,"at St. Louis, MO"
2002,East,2,3,11,Southern Illinois,77,3,Georgia,75,1.0,"at Chicago, IL"
2002,East,2,4,7,NC State,74,2,UConn,77,0.0,"at Washington, DC"
2002,East,3,1,1,Maryland,78,4,Kentucky,68,1.0,"at Syracuse, NY"
2002,East,3,2,11,Southern Illinois,59,2,UConn,71,0.0,"at Syracuse, NY"
2002,East,4,1,1,Maryland,90,2,UConn,82,1.0,"at Syracuse, NY"
2002,Midwest,1,1,1,Kansas,70,16,Holy Cross,59,1.0,"at St. Louis, MO"
2002,Midwest,1,2,8,Stanford,84,9,Western Kentucky,68,1.0,"at St. Louis, MO"
2002,Midwest,1,3,5,Florida,82,12,Creighton,83,0.0,"at Chicago, IL"
2002,Midwest,1,4,4,Illinois,93,13,San Diego State,64,1.0,"at Chicago, IL"
2002,Midwest,1,5,6,Texas,70,11,Boston College,57,1.0,"at Dallas, TX"
2002,Midwest,1,6,3,Mississippi State,70,14,McNeese State,58,1.0,"at Dallas, TX"
2002,Midwest,1,7,7,Wake Forest,83,10,Pepperdine,74,1.0,"at Sacramento, CA"
2002,Midwest,1,8,2,Oregon,81,15,Montana,62,1.0,"at Sacramento, CA"
2002,Midwest,2,1,1,Kansas,86,8,Stanford,63,1.0,"at St. Louis, MO"
2002,Midwest,2,2,12,Creighton,60,4,Illinois,72,0.0,"at Chicago, IL"
2002,Midwest,2,3,6,Texas,68,3,Mississippi State,64,1.0,"at Dallas, TX"
2002,Midwest,2,4,7,Wake Forest,87,2,Oregon,92,0.0,"at Sacramento, CA"
2002,Midwest,3,1,1,Kansas,73,4,Illinois,69,1.0,"at Madison, WI"
2002,Midwest,3,2,6,Texas,70,2,Oregon,72,0.0,"at Madison, WI"
2002,Midwest,4,1,1,Kansas,104,2,Oregon,86,1.0,"at Madison, WI"
2002,South,1,1,1,Duke,84,16,Winthrop,37,1.0,"at Greenville, SC"
2002,South,1,2,8,Notre Dame,82,9,Charlotte,63,1.0,"at Greenville, SC"
2002,South,1,3,5,Indiana,75,12,Utah,56,1.0,"at Sacramento, CA"
2002,South,1,4,4,USC,89,13,UNC Wilmington,93,0.0,"at Sacramento, CA"
2002,South,1,5,6,California,82,11,Penn,75,1.0,"at Pittsburgh, PA"
2002,South,1,6,3,Pitt,71,14,Central Connecticut,54,1.0,"at Pittsburgh, PA"
2002,South,1,7,7,Oklahoma State,61,10,Kent State,69,0.0,"at Greenville, SC"
2002,South,1,8,2,Alabama,86,15,Florida Atlantic,78,1.0,"at Greenville, SC"
2002,South,2,1,1,Duke,84,8,Notre Dame,77,1.0,"at Greenville, SC"
2002,South,2,2,5,Indiana,76,13,UNC Wilmington,67,1.0,"at Sacramento, CA"
2002,South,2,3,6,California,50,3,Pitt,63,0.0,"at Pittsburgh, PA"
2002,South,2,4,10,Kent State,71,2,Alabama,58,1.0,"at Greenville, SC"
2002,South,3,1,1,Duke,73,5,Indiana,74,0.0,"at Lexington, KY"
2002,South,3,2,3,Pitt,73,10,Kent State,78,0.0,"at Lexington, KY"
2002,South,4,1,5,Indiana,81,10,Kent State,69,1.0,"at Lexington, KY"
2002,West,1,1,1,Cincinnati,90,16,Boston University,52,1.0,"at Pittsburgh, PA"
2002,West,1,2,8,UCLA,80,9,Ole Miss,58,1.0,"at Pittsburgh, PA"
2002,West,1,3,5,Miami (FL),80,12,Missouri,93,0.0,"at Albuquerque, NM"
2002,West,1,4,4,Ohio State,69,13,Davidson,64,1.0,"at Albuquerque, NM"
2002,West,1,5,6,Gonzaga,66,11,Wyoming,73,0.0,"at Albuquerque, NM"
2002,West,1,6,3,Arizona,86,14,UCSB,81,1.0,"at Albuquerque, NM"
2002,West,1,7,7,Xavier,70,10,Hawaii,58,1.0,"at Dallas, TX"
2002,West,1,8,2,Oklahoma,71,15,UIC,63,1.0,"at Dallas, TX"
2002,West,2,1,1,Cincinnati,101,8,UCLA,105,0.0,"at Pittsburgh, PA"
2002,West,2,2,12,Missouri,83,4,Ohio State,67,1.0,"at Albuquerque, NM"
2002,West,2,3,11,Wyoming,60,3,Arizona,68,0.0,"at Albuquerque, NM"
2002,West,2,4,7,Xavier,65,2,Oklahoma,78,0.0,"at Dallas, TX"
2002,West,3,1,8,UCLA,73,12,Missouri,82,0.0,"at San Jose, CA"
2002,West,3,2,3,Arizona,67,2,Oklahoma,88,0.0,"at San Jose, CA"
2002,West,4,1,12,Missouri,75,2,Oklahoma,81,0.0,"at San Jose, CA"
2002,National,1,1,1,Maryland,97,1,Kansas,88,1.0,"at Atlanta, GA"
2002,National,1,2,2,Oklahoma,64,5,Indiana,73,0.0,"at Atlanta, GA"
2002,National,2,1,1,Maryland,64,5,Indiana,52,1.0,"at Atlanta, GA"
2003,East,1,1,1,Oklahoma,71,16,South Carolina State,54,1.0,"at Oklahoma City, OK"
2003,East,1,2,8,California,76,9,NC State,74,1.0,"at Oklahoma City, OK"
2003,East,1,3,5,Mississippi State,46,12,Butler,47,0.0,"at Birmingham, AL"
2003,East,1,4,4,Louisville,86,13,Austin Peay,64,1.0,"at Birmingham, AL"
2003,East,1,5,6,Oklahoma State,77,11,Penn,63,1.0,"at Boston, MA"
2003,East,1,6,3,Syracuse,76,14,Manhattan,65,1.0,"at Boston, MA"
2003,East,1,7,7,St. Joseph's,63,10,Auburn,65,0.0,"at Tampa, FL"
2003,East,1,8,2,Wake Forest,76,15,ETSU,73,1.0,"at Tampa, FL"
2003,East,2,1,1,Oklahoma,74,8,California,65,1.0,"at Oklahoma City, OK"
2003,East,2,2,12,Butler,79,4,Louisville,71,1.0,"at Birmingham, AL"
2003,East,2,3,6,Oklahoma State,56,3,Syracuse,68,0.0,"at Boston, MA"
2003,East,2,4,10,Auburn,68,2,Wake Forest,62,1.0,"at Tampa, FL"
2003,East,3,1,1,Oklahoma,65,12,Butler,54,1.0,"at Albany, NY"
2003,East,3,2,3,Syracuse,79,10,Auburn,78,1.0,"at Albany, NY"
2003,East,4,1,1,Oklahoma,47,3,Syracuse,63,0.0,"at Albany, NY"
2003,Midwest,1,1,1,Kentucky,95,16,IU Indianapolis,64,1.0,"at Nashville, TN"
2003,Midwest,1,2,8,Oregon,58,9,Utah,60,0.0,"at Nashville, TN"
2003,Midwest,1,3,5,Wisconsin,81,12,Weber State,74,1.0,"at Spokane, WA"
2003,Midwest,1,4,4,Dayton,71,13,Tulsa,84,0.0,"at Spokane, WA"
2003,Midwest,1,5,6,Missouri,72,11,Southern Illinois,71,1.0,"at Indianapolis, IN"
2003,Midwest,1,6,3,Marquette,72,14,Holy Cross,68,1.0,"at Indianapolis, IN"
2003,Midwest,1,7,7,Indiana,67,10,Alabama,62,1.0,"at Boston, MA"
2003,Midwest,1,8,2,Pitt,87,15,Wagner,61,1.0,"at Boston, MA"
2003,Midwest,2,1,1,Kentucky,74,9,Utah,54,1.0,"at Nashville, TN"
2003,Midwest,2,2,5,Wisconsin,61,13,Tulsa,60,1.0,"at Spokane, WA"
2003,Midwest,2,3,6,Missouri,92,3,Marquette,101,0.0,"at Indianapolis, IN"
2003,Midwest,2,4,7,Indiana,52,2,Pitt,74,0.0,"at Boston, MA"
2003,Midwest,3,1,1,Kentucky,63,5,Wisconsin,57,1.0,"at Minneapolis, MN"
2003,Midwest,3,2,3,Marquette,77,2,Pitt,74,1.0,"at Minneapolis, MN"
2003,Midwest,4,1,1,Kentucky,69,3,Marquette,83,0.0,"at Minneapolis, MN"
2003,South,1,1,1,Texas,82,16,UNC Asheville,61,1.0,"at Birmingham, AL"
2003,South,1,2,8,LSU,56,9,Purdue,80,0.0,"at Birmingham, AL"
2003,South,1,3,5,UConn,58,12,BYU,53,1.0,"at Spokane, WA"
2003,South,1,4,4,Stanford,77,13,San Diego,69,1.0,"at Spokane, WA"
2003,South,1,5,6,Maryland,75,11,UNC Wilmington,73,1.0,"at Nashville, TN"
2003,South,1,6,3,Xavier,71,14,Troy,59,1.0,"at Nashville, TN"
2003,South,1,7,7,Michigan State,79,10,Colorado,64,1.0,"at Tampa, FL"
2003,South,1,8,2,Florida,85,15,Sam Houston,55,1.0,"at Tampa, FL"
2003,South,2,1,1,Texas,77,9,Purdue,67,1.0,"at Birmingham, AL"
2003,South,2,2,5,UConn,85,4,Stanford,74,1.0,"at Spokane, WA"
2003,South,2,3,6,Maryland,77,3,Xavier,64,1.0,"at Nashville, TN"
2003,South,2,4,7,Michigan State,68,2,Florida,46,1.0,"at Tampa, FL"
2003,South,3,1,1,Texas,82,5,UConn,78,1.0,"at San Antonio, TX"
2003,South,3,2,6,Maryland,58,7,Michigan State,60,0.0,"at San Antonio, TX"
2003,South,4,1,1,Texas,85,7,Michigan State,76,1.0,"at San Antonio, TX"
