Year,Team_A,Matched_A,Team_B,Matched_B
2002,Wisconsin,wisconsin,St. John's (NY),
2002,Georgia,georgia,Murray State,
2002,NC State,nc state,Michigan State,
2002,UConn,,Hampton,hampton
2002,NC State,nc state,UConn,
2002,Southern Illinois,southern illinois,UConn,
2002,Maryland,maryland,UConn,
2002,Illinois,illinois,San Diego State,
2002,Mississippi State,mississippi st,McNeese State,
2002,Pitt,,Central Connecticut,central connecticut
2002,Oklahoma State,,Kent State,
2002,California,california,Pitt,
2002,Kent State,,Alabama,alabama
2002,Pitt,,Kent State,
2002,Indiana,indiana,Kent State,
2002,UCLA,ucla,Ole Miss,
2002,Ohio State,,Davidson,davidson
2002,Arizona,arizona,UCSB,
2002,Oklahoma,oklahoma,UIC,
2002,Missouri,missouri,Ohio State,
2003,Oklahoma State,,Penn,penn
2003,St. Joseph's,,Auburn,auburn
2003,Wake Forest,wake forest,ETSU,
2003,Oklahoma State,,Syracuse,syracuse
2003,Kentucky,kentucky,IU Indianapolis,
2003,Wisconsin,wisconsin,Weber State,
2003,Pitt,,Wagner,wagner
2003,Indiana,indiana,Pitt,
2003,Marquette,marquette,Pitt,
2003,UConn,,BYU,byu
2003,Xavier,xavier,Troy,
2003,Michigan State,,Colorado,colorado
2003,Florida,florida,Sam Houston,
2003,UConn,,Stanford,stanford
2003,Michigan State,,Florida,florida
2003,Texas,texas,UConn,
2003,Maryland,maryland,Michigan State,
2003,Texas,texas,Michigan State,
2003,Duke,duke,Colorado State,
2003,Memphis,memphis,Arizona State,
2003,Kansas,kansas,Utah State,
2003,Arizona State,,Kansas,kansas
2004,Duke,duke,Alabama State,
2004,Illinois,illinois,Murray State,
2004,Cincinnati,cincinnati,ETSU,
2004,UNC,,Air Force,air force
2004,UNC,,Texas,texas
2004,St. Joseph's,,Liberty,liberty
2004,Pitt,,UCF,ucf
2004,Oklahoma State,,Eastern Washington,eastern washington
2004,St. Joseph's,,Texas Tech,texas tech
2004,Wisconsin,wisconsin,Pitt,
2004,Memphis,memphis,Oklahoma State,
2004,St. Joseph's,,Wake Forest,wake forest
2004,Pitt,,Oklahoma State,
2004,St. Joseph's,,Oklahoma State,
2004,NC State,nc state,Louisiana,
2004,UConn,,Vermont,vermont
2004,DePaul,depaul,UConn,
2004,Vanderbilt,vanderbilt,UConn,
2004,Alabama,alabama,UConn,
2004,Kansas,kansas,UIC,
2004,Michigan State,,Nevada,nevada
2004,UConn,,Duke,duke
2004,Oklahoma State,,Georgia Tech,georgia tech
2004,UConn,,Georgia Tech,georgia tech
2005,Pacific,pacific,Pitt,
2005,Louisville,louisville,Louisiana,
2005,Duke,duke,Delaware State,
2005,Michigan State,,Old Dominion,old dominion
2005,Michigan State,,Vermont,vermont
2005,Duke,duke,Michigan State,
2005,Michigan State,,Kentucky,kentucky
2005,Illinois,illinois,FDU,
2005,Arizona,arizona,Utah State,
2005,Oklahoma State,,Southeastern Louisiana,southeastern louisiana
2005,Southern Illinois,southern illinois,Oklahoma State,
2005,Arizona,arizona,Oklahoma State,
2005,UNC,,Oakland,oakland
2005,Minnesota,minnesota,Iowa State,
2005,UConn,,UCF,ucf
2005,UNC,,Iowa State,
2005,NC State,nc state,UConn,
2005,UNC,,Villanova,villanova
2005,UNC,,Wisconsin,wisconsin
2005,UNC,,Michigan State,
2005,UNC,,Illinois,illinois
2006,Ohio State,,Davidson,davidson
2006,Georgetown,georgetown,Ohio State,
2006,Pitt,,Kent State,
2006,Indiana,indiana,San Diego State,
2006,Pitt,,Bradley,bradley
2006,UConn,,Albany (NY),
2006,Washington,washington,Utah State,
2006,Michigan State,,George Mason,george mason
2006,UNC,,Murray State,
2006,Wichita State,,Seton Hall,seton hall
2006,UConn,,Kentucky,kentucky
2006,George Mason,george mason,UNC,
2006,Wichita State,,Tennessee,tennessee
2006,UConn,,Washington,washington
2006,George Mason,george mason,Wichita State,
2006,UConn,,George Mason,george mason
2007,UNC,,Eastern Kentucky,eastern kentucky
2007,Marquette,marquette,Michigan State,
2007,UNC,,Michigan State,
2007,UNC,,USC,usc
2007,UNC,,Georgetown,georgetown
2007,Florida,florida,Jackson State,
2007,Wisconsin,wisconsin,Texas A&M-Corpus Christi,
2007,Ohio State,,Central Connecticut,central connecticut
2007,Virginia,virginia,Albany (NY),
2007,Ohio State,,Xavier,xavier
2007,Ohio State,,Tennessee,tennessee
2007,Ohio State,,Memphis,memphis
2007,Pitt,,Wright State,
2007,UCLA,ucla,Weber State,
2007,VCU,vcu,Pitt,
2007,Pitt,,UCLA,ucla
2007,Georgetown,georgetown,Ohio State,
2007,Florida,florida,Ohio State,
2008,UNC,,Mount St. Mary's,mount st marys
2008,Oklahoma,oklahoma,St. Joseph's,
2008,Louisville,louisville,Boise State,
2008,UNC,,Arkansas,arkansas
2008,UNC,,Washington State,washington st
2008,UNC,,Louisville,louisville
2008,Kansas,kansas,Portland State,
2008,UNLV,unlv,Kent State,
2008,USC,usc,Kansas State,
2008,Kansas State,,Wisconsin,wisconsin
2008,Michigan State,,Temple,temple
2008,Pitt,,Oral Roberts,oral roberts
2008,Michigan State,,Pitt,
2008,Memphis,memphis,Michigan State,
2008,UConn,,San Diego,san diego
2008,Kansas,kansas,UNC,
2009,Pitt,,ETSU,
