Region,Round,Matchup,Team_A,Team_B,Prob_A_Wins,Prob_B_Wins
East,1,Game 1,Duke,American,0.9621869476822749,0.03781305231772514
East,1,Game 2,Mississippi State,Baylor,0.46419576478289976,0.5358042352171002
East,1,Game 3,Oregon,Liberty,0.7196321252740474,0.2803678747259526
East,1,Game 4,Arizona,Akron,0.8401915757381831,0.15980842426181685
East,1,Game 5,BYU,VCU,0.6867033524313861,0.31329664756861386
East,1,Game 6,Wisconsin,Montana,0.8701625537777029,0.1298374462222971
East,1,Game 7,Saint Mary's,Vanderbilt,0.47943693719611824,0.5205630628038818
East,1,Game 8,Alabama,Robert Morris,0.9452487163971965,0.05475128360280346
East,2,Game 1,Duke,Baylor,0.5216550235112892,0.47834497648871077
East,2,Game 2,Oregon,Arizona,0.4286473700721814,0.5713526299278187
East,2,Game 3,BYU,Wisconsin,0.4063503034453734,0.5936496965546266
East,2,Game 4,Vanderbilt,Alabama,0.28410054692473335,0.7158994530752667
East,3,Game 1,Duke,Arizona,0.45074978587502473,0.5492502141249753
East,3,Game 2,Wisconsin,Alabama,0.41315052871572383,0.5868494712842762
East,4,Region Final,Arizona,Alabama,0.4295862558406748,0.5704137441593252
Midwest,1,Game 1,Houston,SIU-Edwardsville,0.9778334613681435,0.02216653863185647
Midwest,1,Game 2,Gonzaga,Georgia,0.39990487085188603,0.600095129148114
Midwest,1,Game 3,Clemson,McNeese State,0.7028977862345116,0.2971022137654884
Midwest,1,Game 4,Purdue,High Point,0.8414075841710094,0.15859241582899064
Midwest,1,Game 5,Illinois,Texas,0.5974426905704592,0.4025573094295408
Midwest,1,Game 6,Kentucky,Troy,0.8813041619657962,0.1186958380342038
Midwest,1,Game 7,UCLA,Utah State,0.6492233250986714,0.3507766749013286
Midwest,1,Game 8,Tennessee,Wofford,0.9240316323189743,0.07596836768102566
Midwest,2,Game 1,Houston,Georgia,0.5825623708679605,0.4174376291320395
Midwest,2,Game 2,Clemson,Purdue,0.37836856032599975,0.6216314396740003
Midwest,2,Game 3,Illinois,Kentucky,0.41890657245765356,0.5810934275423465
Midwest,2,Game 4,UCLA,Tennessee,0.3839945806685736,0.6160054193314264
Midwest,3,Game 1,Houston,Purdue,0.494357712780699,0.5056422872193009
Midwest,3,Game 2,Kentucky,Tennessee,0.5048524356654309,0.4951475643345691
Midwest,4,Region Final,Purdue,Kentucky,0.45249244273836325,0.5475075572616368
South,1,Game 1,Auburn,Alabama State,0.9843111684118719,0.01568883158812806
South,1,Game 2,Louisville,Creighton,0.46021932469420673,0.5397806753057932
South,1,Game 3,Michigan,UC-San Diego,0.7350654962587109,0.26493450374128913
South,1,Game 4,Texas A&M,Yale,0.8358848091116435,0.16411519088835647
South,1,Game 5,Ole Miss,UNC,0.6231018795858618,0.37689812041413817
South,1,Game 6,Iowa State,Lipscomb,0.8728278489408148,0.12717215105918522
South,1,Game 7,Marquette,New Mexico,0.6387079363248835,0.36129206367511646
South,1,Game 8,Michigan State,Bryant,0.9367712285646632,0.06322877143533678
South,2,Game 1,Auburn,Creighton,0.6766756432672434,0.3233243567327566
South,2,Game 2,Michigan,Texas A&M,0.4400521093571124,0.5599478906428876
South,2,Game 3,Ole Miss,Iowa State,0.48257826261037606,0.5174217373896239
South,2,Game 4,Marquette,Michigan State,0.40956431869179805,0.5904356813082019
South,3,Game 1,Auburn,Texas A&M,0.5552828711833064,0.44471712881669356
South,3,Game 2,Iowa State,Michigan State,0.46622384921396653,0.5337761507860335
South,4,Region Final,Auburn,Michigan State,0.561711496724966,0.438288503275034
West,1,Game 1,Florida,Norfolk State,0.9764456994391058,0.023554300560894248
West,1,Game 2,UConn,Oklahoma,0.4221879197389479,0.577812080261052
West,1,Game 3,Memphis,Colorado State,0.6006767102517198,0.39932328974828024
West,1,Game 4,Maryland,Grand Canyon,0.8197968521047503,0.18020314789524972
West,1,Game 5,Missouri,Drake,0.7078656486408235,0.29213435135917654
West,1,Game 6,Texas Tech,UNC Wilmington,0.8673554476974245,0.13264455230257555
West,1,Game 7,Kansas,Arkansas,0.5810576608107592,0.41894233918924084
West,1,Game 8,St. John's,Omaha,0.8995055766516717,0.10049442334832825
West,2,Game 1,Florida,Oklahoma,0.579940512025237,0.420059487974763
West,2,Game 2,Memphis,Maryland,0.4038383698508602,0.5961616301491398
West,2,Game 3,Missouri,Texas Tech,0.46887855688166213,0.5311214431183379
West,2,Game 4,Kansas,St. John's,0.49491908598611395,0.5050809140138861
West,3,Game 1,Florida,Maryland,0.5639039673518909,0.43609603264810914
West,3,Game 2,Texas Tech,St. John's,0.49937945437752196,0.500620545622478
West,4,Region Final,Florida,St. John's,0.55740832185461,0.44259167814539
FinalFour,5,Semifinal1 (East vs Midwest),Alabama,Kentucky,0.5238513711762394,0.47614862882376063
FinalFour,5,Semifinal2 (South vs West),Auburn,Florida,0.5472062867359878,0.4527937132640122
FinalFour,6,Championship,Alabama,Auburn,0.4928655553875033,0.5071344446124967
