Year,Region,Round,Game,Team_A,Team_A_Seed,Team_A_Score,Team_B,Team_B_Seed,Team_B_Score,Winner,Team_A_Rank,Team_A_Conference,Team_A_W-L,Team_A_NetRtg,Team_A_ORtg,Team_A_DRtg,Team_A_AdjT,Team_A_Luck,Team_A_Strength_of_Schedule_NetRtg,Team_A_Strength_of_Schedule_ORtg,Team_A_Strength_of_Schedule_DRtg,Team_A_NCSOS_NetRtg,Team_B_Rank,Team_B_Conference,Team_B_W-L,Team_B_NetRtg,Team_B_ORtg,Team_B_DRtg,Team_B_AdjT,Team_B_Luck,Team_B_Strength_of_Schedule_NetRtg,Team_B_Strength_of_Schedule_ORtg,Team_B_Strength_of_Schedule_DRtg,Team_B_NCSOS_NetRtg,NetRtg_diff,ORtg_diff,DRtg_diff,AdjT_diff,Luck_diff,Strength_of_Schedule_NetRtg_diff,diff_NetRtg,diff_ORtg,diff_DRtg,diff_AdjT,diff_Luck,diff_Strength_of_Schedule_NetRtg,diff_Strength_of_Schedule_ORtg,diff_Strength_of_Schedule_DRtg,diff_NCSOS_NetRtg
2002,East,1,1,Maryland,1,85.0,Siena,16,70.0,1.0,3,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,174,MAAC,17-19,-1.21,100.8,102.0,66.5,-0.07,-4.14,100.1,104.2,-0.42,30.46,18.40000000000001,-12.099999999999994,7.200000000000003,0.095,14.02,30.46,18.400000000000006,-12.099999999999994,7.200000000000003,0.095,14.02,9.0,-4.900000000000006,2.04
2002,East,1,3,Marquette,5,69.0,Tulsa,12,71.0,0.0,11,CUSA,26-7,21.47,113.4,91.9,64.6,0.006,5.41,105.5,100.1,-2.87,41,WAC,26-7,15.59,116.0,100.4,69.5,0.001,2.03,103.7,101.7,-1.44,5.879999999999999,-2.5999999999999943,-8.5,-4.900000000000006,0.005,3.3800000000000003,5.879999999999999,-2.5999999999999943,-8.5,-4.900000000000006,0.005,3.3800000000000003,1.7999999999999972,-1.6000000000000085,-1.4300000000000002
2002,East,1,4,Kentucky,4,83.0,Valparaiso,13,68.0,1.0,10,SEC,22-10,22.21,113.4,91.2,68.0,-0.029,12.97,110.1,97.1,6.75,47,MCon,24-8,13.63,111.5,97.8,68.7,-0.032,-1.66,102.9,104.6,2.05,8.58,1.9000000000000057,-6.599999999999994,-0.7000000000000028,0.0029999999999999,14.63,8.58,1.9000000000000057,-6.599999999999994,-0.7000000000000028,0.002999999999999999,14.63,7.199999999999989,-7.5,4.7
2002,East,1,5,Texas Tech,6,68.0,Southern Illinois,11,76.0,0.0,31,B12,23-9,17.24,114.6,97.4,69.8,0.061,6.69,106.8,100.2,-0.13,49,MVC,28-8,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16,3.789999999999999,5.399999999999992,1.7000000000000028,-0.7999999999999972,0.0269999999999999,4.58,3.789999999999999,5.3999999999999915,1.7000000000000028,-0.7999999999999972,0.026999999999999996,4.58,1.5999999999999943,-2.8999999999999915,-3.29
2002,East,2,1,Maryland,1,87.0,Wisconsin,8,57.0,1.0,3,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,50,B10,18-13,13.22,110.7,97.5,63.3,0.049,10.57,108.9,98.3,8.49,16.03,8.5,-7.599999999999994,10.400000000000006,-0.024,-0.6899999999999995,16.03,8.5,-7.599999999999994,10.400000000000006,-0.024,-0.6899999999999995,0.19999999999998863,1.0,-6.87
2002,East,2,2,Tulsa,12,82.0,Kentucky,4,87.0,0.0,41,WAC,26-7,15.59,116.0,100.4,69.5,0.001,2.03,103.7,101.7,-1.44,10,SEC,22-10,22.21,113.4,91.2,68.0,-0.029,12.97,110.1,97.1,6.75,-6.620000000000001,2.5999999999999943,9.200000000000005,1.5,0.03,-10.94,-6.620000000000001,2.5999999999999943,9.200000000000003,1.5,0.030000000000000002,-10.940000000000001,-6.3999999999999915,4.6000000000000085,-8.19
2002,East,2,3,Southern Illinois,11,77.0,Georgia,3,75.0,1.0,49,MVC,28-8,13.45,109.2,95.7,70.6,0.034,2.11,105.2,103.1,3.16,25,SEC,22-9,18.44,116.7,98.3,69.2,-0.021,9.87,108.1,98.2,3.3,-4.990000000000002,-7.5,-2.5999999999999943,1.3999999999999917,0.055,-7.76,-4.990000000000002,-7.5,-2.5999999999999943,1.3999999999999915,0.05500000000000001,-7.76,-2.8999999999999915,4.8999999999999915,-0.13999999999999968
2002,East,3,1,Maryland,1,78.0,Kentucky,4,68.0,1.0,3,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62,10,SEC,22-10,22.21,113.4,91.2,68.0,-0.029,12.97,110.1,97.1,6.75,7.039999999999999,5.799999999999997,-1.2999999999999972,5.700000000000003,0.054,-3.09,7.039999999999999,5.799999999999997,-1.2999999999999972,5.700000000000003,0.054000000000000006,-3.09,-1.0,2.200000000000003,-5.13
2002,Midwest,1,1,Kansas,1,70.0,Holy Cross,16,59.0,1.0,4,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,162,Pat,18-15,-0.24,98.1,98.4,62.2,-0.048,-6.4,99.5,105.9,-3.38,29.23,20.60000000000001,-8.700000000000003,15.099999999999994,0.07,17.060000000000002,29.229999999999997,20.60000000000001,-8.700000000000003,15.099999999999994,0.07,17.060000000000002,10.799999999999997,-6.300000000000011,11.7
2002,Midwest,1,2,Stanford,8,84.0,Western Kentucky,9,68.0,1.0,15,P10,20-10,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11,44,SB,26-4,14.51,110.5,96.0,67.5,0.06,0.23,103.1,102.8,0.29,5.8100000000000005,6.099999999999994,0.2999999999999971,2.0,-0.08,10.1,5.8100000000000005,6.099999999999994,0.29999999999999716,2.0,-0.08,10.1,7.1000000000000085,-3.0,1.8199999999999998
2002,Midwest,1,3,Florida,5,82.0,Creighton,12,83.0,0.0,7,SEC,22-9,24.72,115.1,90.4,69.6,-0.073,9.11,108.1,99.0,-0.56,59,MVC,23-9,11.82,111.3,99.5,66.9,0.029,1.39,104.8,103.4,0.94,12.9,3.799999999999997,-9.099999999999994,2.6999999999999886,-0.102,7.72,12.899999999999999,3.799999999999997,-9.099999999999994,2.6999999999999886,-0.102,7.72,3.299999999999997,-4.400000000000006,-1.5
2002,Midwest,1,5,Texas,6,70.0,Boston College,11,57.0,1.0,27,B12,22-12,17.69,116.0,98.3,68.5,-0.021,10.18,109.1,98.9,5.3,71,BE,20-12,9.97,109.4,99.4,69.1,0.04,6.41,105.3,98.9,-2.77,7.720000000000001,6.599999999999994,-1.1000000000000083,-0.5999999999999943,-0.061,3.77,7.720000000000001,6.599999999999994,-1.1000000000000085,-0.5999999999999943,-0.061,3.7699999999999996,3.799999999999997,0.0,8.07
2002,Midwest,1,7,Wake Forest,7,83.0,Pepperdine,10,74.0,1.0,30,ACC,21-13,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85,62,WCC,21-9,11.72,111.1,99.3,72.4,0.061,3.96,105.7,101.7,11.94,5.630000000000001,7.5,2.0,-2.9000000000000057,-0.055,7.28,5.630000000000001,7.5,2.0,-2.9000000000000057,-0.055,7.28,3.3999999999999915,-3.799999999999997,-6.09
2002,Midwest,1,8,Oregon,2,81.0,Montana,15,62.0,1.0,9,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,210,BSky,14-15,-4.51,102.4,106.9,68.5,0.053,-1.95,103.2,105.2,0.44,27.48,16.799999999999997,-10.600000000000009,2.5999999999999943,-0.094,10.1,27.479999999999997,16.799999999999997,-10.600000000000009,2.5999999999999943,-0.094,10.1,4.8999999999999915,-5.299999999999997,-3.7399999999999998
2002,Midwest,2,1,Kansas,1,86.0,Stanford,8,63.0,1.0,4,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,15,P10,20-10,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11,8.669999999999998,2.1000000000000085,-6.599999999999994,7.799999999999997,0.0419999999999999,0.33,8.669999999999998,2.1000000000000085,-6.599999999999994,7.799999999999997,0.041999999999999996,0.33000000000000007,0.09999999999999432,-0.20000000000000284,6.210000000000001
2002,Midwest,2,2,Creighton,12,60.0,Illinois,4,72.0,0.0,59,MVC,23-9,11.82,111.3,99.5,66.9,0.029,1.39,104.8,103.4,0.94,8,B10,26-9,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78,-11.39,-4.400000000000006,7.0,-1.5999999999999943,0.013,-9.21,-11.39,-4.400000000000006,7.0,-1.5999999999999943,0.013000000000000001,-9.209999999999999,-4.900000000000006,4.300000000000011,-5.84
2002,Midwest,2,3,Texas,6,68.0,Mississippi State,3,64.0,1.0,27,B12,22-12,17.69,116.0,98.3,68.5,-0.021,10.18,109.1,98.9,5.3,26,SEC,27-8,18.25,111.4,93.1,67.9,0.107,8.93,106.7,97.7,-0.96,-0.5599999999999987,4.599999999999994,5.200000000000003,0.5999999999999943,-0.128,1.25,-0.5599999999999987,4.599999999999994,5.200000000000003,0.5999999999999943,-0.128,1.25,2.3999999999999915,1.2000000000000028,6.26
2002,Midwest,2,4,Wake Forest,7,87.0,Oregon,2,92.0,0.0,30,ACC,21-13,17.35,118.6,101.3,69.5,0.006,11.24,109.1,97.9,5.85,9,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,-5.619999999999997,-0.6000000000000085,5.0,-1.5999999999999943,0.047,3.09,-5.619999999999997,-0.6000000000000085,5.0,-1.5999999999999943,0.047,3.09,1.0,-2.0,9.149999999999999
2002,Midwest,3,1,Kansas,1,73.0,Illinois,4,69.0,1.0,4,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,8,B10,26-9,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78,5.779999999999998,3.0,-2.799999999999997,8.799999999999997,0.0059999999999999,0.0600000000000005,5.779999999999998,3.0,-2.799999999999997,8.799999999999997,0.005999999999999998,0.0600000000000005,0.5999999999999943,0.5,1.54
2002,Midwest,3,2,Texas,6,70.0,Oregon,2,72.0,0.0,27,B12,22-12,17.69,116.0,98.3,68.5,-0.021,10.18,109.1,98.9,5.3,9,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,-5.279999999999998,-3.200000000000003,2.0,-2.5999999999999943,0.02,2.03,-5.279999999999998,-3.200000000000003,2.0,-2.5999999999999943,0.02,2.0299999999999994,1.0,-1.0,8.6
2002,Midwest,4,1,Kansas,1,104.0,Oregon,2,86.0,1.0,4,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32,9,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3,6.02,-0.5,-6.599999999999994,6.200000000000003,0.063,2.51,6.02,-0.5,-6.599999999999994,6.200000000000003,0.063,2.51,2.200000000000003,-0.30000000000001137,11.620000000000001
2002,South,1,1,Duke,1,84.0,Winthrop,16,37.0,1.0,1,ACC,31-4,34.19,121.0,86.8,74.5,-0.027,9.87,109.1,99.2,6.66,219,BSth,17-12,-5.31,97.3,102.6,65.9,0.038,-10.73,97.0,107.7,-0.98,39.5,23.700000000000003,-15.799999999999995,8.599999999999994,-0.065,20.6,39.5,23.700000000000003,-15.799999999999997,8.599999999999994,-0.065,20.6,12.099999999999994,-8.5,7.640000000000001
2002,South,1,2,Notre Dame,8,82.0,Charlotte,9,63.0,1.0,19,BE,21-11,19.27,116.1,96.8,68.6,-0.087,7.33,105.4,98.1,-1.55,40,CUSA,18-12,15.73,114.2,98.5,66.8,-0.008,9.23,107.3,98.1,6.48,3.539999999999999,1.8999999999999917,-1.7000000000000028,1.7999999999999972,-0.0789999999999999,-1.9000000000000004,3.539999999999999,1.8999999999999915,-1.7000000000000028,1.7999999999999972,-0.07899999999999999,-1.9000000000000004,-1.8999999999999915,0.0,-8.030000000000001
2002,South,1,3,Indiana,5,75.0,Utah,12,56.0,1.0,6,B10,25-12,24.8,114.0,89.2,65.6,-0.049,14.11,110.8,96.7,13.53,45,MWC,19-9,14.08,111.4,97.3,62.1,0.01,5.38,106.2,100.8,1.57,10.72,2.5999999999999943,-8.099999999999994,3.499999999999993,-0.059,8.73,10.72,2.5999999999999943,-8.099999999999994,3.499999999999993,-0.059000000000000004,8.73,4.599999999999994,-4.099999999999994,11.959999999999999
